image_id,image_file,source_affordance_id,prompt_affordance_id,prompt,baseline_top1_score,unified_top1_score,score_gap_baseline_minus_unified
224675,000000224675.jpg,carry_in,talk_on,something to talk on .,0.346903,0.265255,0.081648
47112,000000047112.jpg,cut_with,talk_on,something to talk on .,0.342780,0.261879,0.080901
465549,000000465549.jpg,sit_on,talk_on,something to talk on .,0.294083,0.213277,0.080806
50145,000000050145.jpg,ride,talk_on,something to talk on .,0.303579,0.223070,0.080508
173371,000000173371.jpg,cut_with,talk_on,something to talk on .,0.362512,0.282364,0.080149
260105,000000260105.jpg,cut_with,talk_on,something to talk on .,0.309924,0.229884,0.080040
467176,000000467176.jpg,read,talk_on,something to talk on .,0.324085,0.244109,0.079976
400161,000000400161.jpg,read,talk_on,something to talk on .,0.420992,0.341249,0.079743
466986,000000466986.jpg,eat_with,talk_on,something to talk on .,0.327077,0.247342,0.079735
250766,000000250766.jpg,cut_with,talk_on,something to talk on .,0.323925,0.244197,0.079728
183716,000000183716.jpg,sit_on,talk_on,something to talk on .,0.322685,0.243066,0.079619
42628,000000042628.jpg,carry_in,talk_on,something to talk on .,0.434267,0.354868,0.079399
80659,000000080659.jpg,ride,talk_on,something to talk on .,0.318786,0.239713,0.079073
64868,000000064868.jpg,drink_from,talk_on,something to talk on .,0.347759,0.268713,0.079046
61108,000000061108.jpg,ride,talk_on,something to talk on .,0.326166,0.247212,0.078954
130826,000000130826.jpg,sit_on,talk_on,something to talk on .,0.295557,0.216636,0.078921
22892,000000022892.jpg,sit_on,talk_on,something to talk on .,0.319932,0.241829,0.078103
350148,000000350148.jpg,drink_from,talk_on,something to talk on .,0.399406,0.321525,0.077880
17714,000000017714.jpg,cut_with,talk_on,something to talk on .,0.330608,0.253081,0.077528
206579,000000206579.jpg,read,talk_on,something to talk on .,0.386110,0.308753,0.077357
20553,000000020553.jpg,sit_on,talk_on,something to talk on .,0.282108,0.204857,0.077251
66231,000000066231.jpg,cut_with,talk_on,something to talk on .,0.324495,0.247381,0.077115
335427,000000335427.jpg,eat_with,talk_on,something to talk on .,0.331180,0.254553,0.076627
265518,000000265518.jpg,eat_with,talk_on,something to talk on .,0.355990,0.279547,0.076443
534827,000000534827.jpg,carry_in,talk_on,something to talk on .,0.317168,0.240859,0.076309
34873,000000034873.jpg,drink_from,talk_on,something to talk on .,0.286818,0.210864,0.075954
280710,000000280710.jpg,carry_in,talk_on,something to talk on .,0.268610,0.192707,0.075903
446005,000000446005.jpg,read,talk_on,something to talk on .,0.370583,0.294814,0.075769
33638,000000033638.jpg,eat_with,talk_on,something to talk on .,0.271739,0.196318,0.075421
455937,000000455937.jpg,read,talk_on,something to talk on .,0.281736,0.206470,0.075266
349480,000000349480.jpg,carry_in,talk_on,something to talk on .,0.298183,0.223130,0.075053
320664,000000320664.jpg,cut_with,talk_on,something to talk on .,0.299590,0.224598,0.074993
425226,000000425226.jpg,drink_from,talk_on,something to talk on .,0.277753,0.203230,0.074523
474293,000000474293.jpg,carry_in,talk_on,something to talk on .,0.267086,0.192761,0.074325
371042,000000371042.jpg,carry_in,talk_on,something to talk on .,0.351842,0.277526,0.074316
374052,000000374052.jpg,sit_on,talk_on,something to talk on .,0.345881,0.271944,0.073937
295809,000000295809.jpg,ride,talk_on,something to talk on .,0.392543,0.319032,0.073510
549390,000000549390.jpg,carry_in,talk_on,something to talk on .,0.292224,0.219222,0.073002
133645,000000133645.jpg,sit_on,talk_on,something to talk on .,0.317538,0.244542,0.072996
160012,000000160012.jpg,cut_with,talk_on,something to talk on .,0.293441,0.220517,0.072923
548780,000000548780.jpg,sit_on,talk_on,something to talk on .,0.298225,0.226457,0.071767
293625,000000293625.jpg,drink_from,talk_on,something to talk on .,0.290114,0.218354,0.071760
452084,000000452084.jpg,eat_with,talk_on,something to talk on .,0.320551,0.249243,0.071307
199236,000000199236.jpg,ride,talk_on,something to talk on .,0.288968,0.218122,0.070846
458663,000000458663.jpg,cut_with,talk_on,something to talk on .,0.325572,0.254748,0.070824
135410,000000135410.jpg,ride,talk_on,something to talk on .,0.328122,0.258375,0.069747
121242,000000121242.jpg,ride,talk_on,something to talk on .,0.280685,0.210976,0.069710
210273,000000210273.jpg,ride,talk_on,something to talk on .,0.306548,0.237030,0.069517
544565,000000544565.jpg,eat_with,talk_on,something to talk on .,0.304640,0.235165,0.069476
95707,000000095707.jpg,cut_with,talk_on,something to talk on .,0.295110,0.226115,0.068995
128476,000000128476.jpg,drink_from,talk_on,something to talk on .,0.313607,0.244655,0.068952
182611,000000182611.jpg,eat_with,talk_on,something to talk on .,0.349302,0.280361,0.068941
549220,000000549220.jpg,read,talk_on,something to talk on .,0.308065,0.239176,0.068889
465836,000000465836.jpg,carry_in,talk_on,something to talk on .,0.251464,0.183083,0.068381
296231,000000296231.jpg,read,talk_on,something to talk on .,0.282953,0.214574,0.068380
507975,000000507975.jpg,ride,talk_on,something to talk on .,0.298378,0.230018,0.068360
8277,000000008277.jpg,eat_with,talk_on,something to talk on .,0.339675,0.271427,0.068248
262227,000000262227.jpg,read,talk_on,something to talk on .,0.308659,0.240576,0.068083
292060,000000292060.jpg,eat_with,talk_on,something to talk on .,0.271811,0.203886,0.067925
54628,000000054628.jpg,sit_on,talk_on,something to talk on .,0.315484,0.247834,0.067649
191580,000000191580.jpg,cut_with,talk_on,something to talk on .,0.275344,0.207827,0.067517
453001,000000453001.jpg,carry_in,talk_on,something to talk on .,0.358523,0.291239,0.067284
565877,000000565877.jpg,read,talk_on,something to talk on .,0.322653,0.255526,0.067127
169076,000000169076.jpg,sit_on,talk_on,something to talk on .,0.278105,0.211003,0.067102
580294,000000580294.jpg,eat_with,talk_on,something to talk on .,0.268069,0.201291,0.066778
429109,000000429109.jpg,ride,talk_on,something to talk on .,0.324504,0.258735,0.065769
66841,000000066841.jpg,eat_with,talk_on,something to talk on .,0.273657,0.208158,0.065499
496954,000000496954.jpg,eat_with,talk_on,something to talk on .,0.339435,0.274692,0.064743
286553,000000286553.jpg,cut_with,talk_on,something to talk on .,0.269668,0.205084,0.064584
397133,000000397133.jpg,eat_with,talk_on,something to talk on .,0.278483,0.213927,0.064556
192904,000000192904.jpg,sit_on,talk_on,something to talk on .,0.300852,0.236956,0.063896
40471,000000040471.jpg,cut_with,talk_on,something to talk on .,0.249596,0.185857,0.063739
530975,000000530975.jpg,eat_with,talk_on,something to talk on .,0.289507,0.225770,0.063737
335529,000000335529.jpg,sit_on,talk_on,something to talk on .,0.305768,0.242338,0.063430
182417,000000182417.jpg,eat_with,talk_on,something to talk on .,0.273179,0.209984,0.063195
40083,000000040083.jpg,ride,talk_on,something to talk on .,0.251316,0.188254,0.063062
241677,000000241677.jpg,ride,talk_on,something to talk on .,0.237486,0.174646,0.062840
66817,000000066817.jpg,eat_with,talk_on,something to talk on .,0.284266,0.221483,0.062783
78748,000000078748.jpg,ride,talk_on,something to talk on .,0.306426,0.243663,0.062763
136915,000000136915.jpg,read,talk_on,something to talk on .,0.342318,0.279960,0.062359
224724,000000224724.jpg,ride,talk_on,something to talk on .,0.325882,0.264283,0.061599
142324,000000142324.jpg,carry_in,talk_on,something to talk on .,0.296722,0.235172,0.061550
416885,000000416885.jpg,eat_with,talk_on,something to talk on .,0.363875,0.302327,0.061549
15254,000000015254.jpg,eat_with,talk_on,something to talk on .,0.335165,0.273746,0.061419
110999,000000110999.jpg,cut_with,talk_on,something to talk on .,0.294238,0.232883,0.061356
50380,000000050380.jpg,sit_on,talk_on,something to talk on .,0.247495,0.186157,0.061338
494869,000000494869.jpg,eat_with,talk_on,something to talk on .,0.332277,0.271214,0.061062
413689,000000413689.jpg,ride,talk_on,something to talk on .,0.261118,0.200216,0.060902
226984,000000226984.jpg,drink_from,talk_on,something to talk on .,0.300287,0.239386,0.060901
425925,000000425925.jpg,drink_from,talk_on,something to talk on .,0.290355,0.229500,0.060855
132375,000000132375.jpg,ride,talk_on,something to talk on .,0.291574,0.231145,0.060428
153527,000000153527.jpg,eat_with,talk_on,something to talk on .,0.297312,0.237393,0.059919
117425,000000117425.jpg,drink_from,talk_on,something to talk on .,0.317736,0.258049,0.059687
189475,000000189475.jpg,cut_with,talk_on,something to talk on .,0.234798,0.175838,0.058960
178982,000000178982.jpg,ride,talk_on,something to talk on .,0.298952,0.240650,0.058302
563604,000000563604.jpg,carry_in,talk_on,something to talk on .,0.314134,0.255883,0.058251
274460,000000274460.jpg,ride,talk_on,something to talk on .,0.248725,0.190811,0.057915
240940,000000240940.jpg,read,talk_on,something to talk on .,0.345114,0.287567,0.057547
276285,000000276285.jpg,drink_from,talk_on,something to talk on .,0.281075,0.223865,0.057210
375278,000000375278.jpg,read,talk_on,something to talk on .,0.292277,0.235394,0.056883
541634,000000541634.jpg,eat_with,talk_on,something to talk on .,0.286863,0.230528,0.056335
256868,000000256868.jpg,sit_on,talk_on,something to talk on .,0.284717,0.228393,0.056324
249129,000000249129.jpg,eat_with,talk_on,something to talk on .,0.265383,0.209256,0.056128
482275,000000482275.jpg,eat_with,talk_on,something to talk on .,0.294434,0.238802,0.055632
11149,000000011149.jpg,ride,talk_on,something to talk on .,0.271772,0.216227,0.055545
531134,000000531134.jpg,ride,talk_on,something to talk on .,0.262924,0.207429,0.055495
55528,000000055528.jpg,read,talk_on,something to talk on .,0.240166,0.185069,0.055096
146358,000000146358.jpg,sit_on,talk_on,something to talk on .,0.269635,0.214548,0.055087
113720,000000113720.jpg,drink_from,talk_on,something to talk on .,0.366892,0.311829,0.055062
325483,000000325483.jpg,read,talk_on,something to talk on .,0.257653,0.202646,0.055007
263969,000000263969.jpg,cut_with,talk_on,something to talk on .,0.238809,0.183907,0.054902
561889,000000561889.jpg,cut_with,talk_on,something to talk on .,0.307335,0.252459,0.054876
476810,000000476810.jpg,read,talk_on,something to talk on .,0.316664,0.262025,0.054639
530146,000000530146.jpg,cut_with,talk_on,something to talk on .,0.282492,0.227892,0.054601
48396,000000048396.jpg,sit_on,talk_on,something to talk on .,0.275987,0.221579,0.054408
334483,000000334483.jpg,cut_with,talk_on,something to talk on .,0.249889,0.195500,0.054389
505789,000000505789.jpg,carry_in,talk_on,something to talk on .,0.271128,0.217066,0.054061
221872,000000221872.jpg,eat_with,talk_on,something to talk on .,0.322982,0.269108,0.053874
166521,000000166521.jpg,read,talk_on,something to talk on .,0.271228,0.217568,0.053660
480021,000000480021.jpg,ride,talk_on,something to talk on .,0.261631,0.208404,0.053227
342367,000000342367.jpg,read,talk_on,something to talk on .,0.264412,0.211208,0.053204
175535,000000175535.jpg,cut_with,talk_on,something to talk on .,0.280741,0.227611,0.053130
568710,000000568710.jpg,sit_on,talk_on,something to talk on .,0.285605,0.232797,0.052808
277051,000000277051.jpg,cut_with,talk_on,something to talk on .,0.307748,0.255043,0.052705
230450,000000230450.jpg,ride,talk_on,something to talk on .,0.310589,0.258106,0.052483
513567,000000513567.jpg,carry_in,talk_on,something to talk on .,0.273314,0.220899,0.052416
344621,000000344621.jpg,read,talk_on,something to talk on .,0.269970,0.217582,0.052388
419312,000000419312.jpg,cut_with,talk_on,something to talk on .,0.281914,0.229857,0.052057
33221,000000033221.jpg,carry_in,talk_on,something to talk on .,0.306043,0.254270,0.051773
436738,000000436738.jpg,read,talk_on,something to talk on .,0.234763,0.183030,0.051732
177861,000000177861.jpg,ride,talk_on,something to talk on .,0.262593,0.210871,0.051722
528399,000000528399.jpg,eat_with,talk_on,something to talk on .,0.230941,0.179259,0.051682
85157,000000085157.jpg,eat_with,talk_on,something to talk on .,0.225740,0.174219,0.051521
255536,000000255536.jpg,ride,talk_on,something to talk on .,0.257337,0.205902,0.051435
413395,000000413395.jpg,drink_from,talk_on,something to talk on .,0.255419,0.204357,0.051061
297084,000000297084.jpg,eat_with,talk_on,something to talk on .,0.244963,0.193912,0.051051
417632,000000417632.jpg,carry_in,talk_on,something to talk on .,0.286809,0.235808,0.051001
571857,000000571857.jpg,drink_from,talk_on,something to talk on .,0.213281,0.162291,0.050989
360661,000000360661.jpg,ride,talk_on,something to talk on .,0.273903,0.223095,0.050808
571313,000000571313.jpg,sit_on,talk_on,something to talk on .,0.246031,0.195254,0.050777
405970,000000405970.jpg,read,talk_on,something to talk on .,0.298148,0.247376,0.050772
177935,000000177935.jpg,cut_with,talk_on,something to talk on .,0.257132,0.206686,0.050446
231097,000000231097.jpg,eat_with,talk_on,something to talk on .,0.272268,0.222112,0.050156
345027,000000345027.jpg,sit_on,talk_on,something to talk on .,0.356871,0.306952,0.049919
336356,000000336356.jpg,cut_with,talk_on,something to talk on .,0.256573,0.206767,0.049806
349152,000000349152.jpg,cut_with,talk_on,something to talk on .,0.321404,0.272164,0.049241
282037,000000282037.jpg,sit_on,talk_on,something to talk on .,0.261277,0.212162,0.049116
277005,000000277005.jpg,ride,talk_on,something to talk on .,0.251280,0.202237,0.049044
397354,000000397354.jpg,drink_from,talk_on,something to talk on .,0.312764,0.263741,0.049023
367095,000000367095.jpg,cut_with,talk_on,something to talk on .,0.220434,0.171415,0.049018
166166,000000166166.jpg,read,talk_on,something to talk on .,0.296243,0.247277,0.048966
7818,000000007818.jpg,drink_from,talk_on,something to talk on .,0.247204,0.198279,0.048925
162092,000000162092.jpg,eat_with,talk_on,something to talk on .,0.292897,0.244163,0.048735
32334,000000032334.jpg,drink_from,talk_on,something to talk on .,0.252904,0.204330,0.048574
127092,000000127092.jpg,carry_in,talk_on,something to talk on .,0.252262,0.204021,0.048241
12120,000000012120.jpg,sit_on,talk_on,something to talk on .,0.283558,0.235334,0.048225
55150,000000055150.jpg,read,talk_on,something to talk on .,0.237924,0.189955,0.047969
99114,000000099114.jpg,carry_in,talk_on,something to talk on .,0.239704,0.191908,0.047795
302030,000000302030.jpg,read,talk_on,something to talk on .,0.295526,0.247773,0.047753
74733,000000074733.jpg,sit_on,talk_on,something to talk on .,0.255100,0.207393,0.047707
301135,000000301135.jpg,ride,talk_on,something to talk on .,0.213965,0.166442,0.047523
480122,000000480122.jpg,cut_with,talk_on,something to talk on .,0.258048,0.210743,0.047305
289415,000000289415.jpg,eat_with,talk_on,something to talk on .,0.256466,0.209434,0.047032
575970,000000575970.jpg,drink_from,talk_on,something to talk on .,0.229265,0.182261,0.047005
189752,000000189752.jpg,cut_with,talk_on,something to talk on .,0.297829,0.251238,0.046591
182162,000000182162.jpg,read,talk_on,something to talk on .,0.240622,0.194129,0.046493
494913,000000494913.jpg,carry_in,talk_on,something to talk on .,0.284806,0.238357,0.046449
80932,000000080932.jpg,eat_with,talk_on,something to talk on .,0.248142,0.201796,0.046346
425361,000000425361.jpg,cut_with,talk_on,something to talk on .,0.279490,0.233198,0.046292
18575,000000018575.jpg,cut_with,talk_on,something to talk on .,0.242641,0.196389,0.046252
374083,000000374083.jpg,cut_with,talk_on,something to talk on .,0.256866,0.210738,0.046128
486040,000000486040.jpg,sit_on,talk_on,something to talk on .,0.278194,0.232100,0.046094
509824,000000509824.jpg,read,talk_on,something to talk on .,0.221828,0.175920,0.045908
552775,000000552775.jpg,cut_with,talk_on,something to talk on .,0.288342,0.242613,0.045729
112378,000000112378.jpg,sit_on,talk_on,something to talk on .,0.268925,0.223425,0.045500
127394,000000127394.jpg,sit_on,talk_on,something to talk on .,0.345498,0.300079,0.045420
488075,000000488075.jpg,drink_from,talk_on,something to talk on .,0.219347,0.174086,0.045261
13729,000000013729.jpg,sit_on,talk_on,something to talk on .,0.313911,0.268801,0.045110
422998,000000422998.jpg,drink_from,talk_on,something to talk on .,0.218493,0.173433,0.045060
18150,000000018150.jpg,drink_from,talk_on,something to talk on .,0.290223,0.245243,0.044981
578871,000000578871.jpg,eat_with,talk_on,something to talk on .,0.301585,0.256808,0.044777
283785,000000283785.jpg,read,talk_on,something to talk on .,0.283501,0.238763,0.044738
17182,000000017182.jpg,read,talk_on,something to talk on .,0.283310,0.238590,0.044720
183965,000000183965.jpg,drink_from,talk_on,something to talk on .,0.258881,0.214245,0.044636
175364,000000175364.jpg,eat_with,talk_on,something to talk on .,0.213455,0.168974,0.044480
535253,000000535253.jpg,read,talk_on,something to talk on .,0.272489,0.228011,0.044478
562059,000000562059.jpg,eat_with,talk_on,something to talk on .,0.334044,0.289855,0.044188
356432,000000356432.jpg,sit_on,talk_on,something to talk on .,0.253582,0.209688,0.043893
371699,000000371699.jpg,read,talk_on,something to talk on .,0.246063,0.202187,0.043877
520264,000000520264.jpg,eat_with,talk_on,something to talk on .,0.288998,0.245165,0.043832
396526,000000396526.jpg,read,talk_on,something to talk on .,0.214293,0.170560,0.043732
24610,000000024610.jpg,read,talk_on,something to talk on .,0.287019,0.243435,0.043585
416534,000000416534.jpg,read,talk_on,something to talk on .,0.226236,0.182853,0.043384
84674,000000084674.jpg,read,talk_on,something to talk on .,0.302953,0.259652,0.043301
9590,000000009590.jpg,eat_with,talk_on,something to talk on .,0.213759,0.170606,0.043153
305609,000000305609.jpg,eat_with,talk_on,something to talk on .,0.219239,0.176200,0.043039
215072,000000215072.jpg,drink_from,talk_on,something to talk on .,0.245641,0.202625,0.043015
419653,000000419653.jpg,drink_from,talk_on,something to talk on .,0.225953,0.183038,0.042915
92939,000000092939.jpg,cut_with,talk_on,something to talk on .,0.269062,0.226161,0.042901
527784,000000527784.jpg,drink_from,talk_on,something to talk on .,0.244246,0.201574,0.042671
440475,000000440475.jpg,sit_on,talk_on,something to talk on .,0.302370,0.259908,0.042463
99810,000000099810.jpg,sit_on,talk_on,something to talk on .,0.259228,0.216791,0.042437
441247,000000441247.jpg,drink_from,talk_on,something to talk on .,0.207869,0.165470,0.042399
231527,000000231527.jpg,cut_with,talk_on,something to talk on .,0.287333,0.245127,0.042205
166918,000000166918.jpg,cut_with,talk_on,something to talk on .,0.213672,0.171685,0.041987
